Date,Region,Category,Sales,Cost,Units_Sold,Customer_Rating
2025-01-01,North,Electronics,1500,1200,5,4.5
2025-01-02,North,Electronics,1600,1250,6,4.7
2025-01-03,North,Clothing,500,200,20,4.1
2025-01-04,South,Electronics,1400,1100,5,3.8
2025-01-05,South,Clothing,600,250,22,4.0
2025-01-06,East,Electronics,2000,1500,8,4.9
2025-01-07,East,Clothing,800,300,30,4.6
2025-01-08,West,Electronics,1100,900,4,3.5
2025-01-09,West,Clothing,400,150,15,3.9
2025-01-10,North,Electronics,1550,1220,5,4.6
2025-01-11,North,Clothing,550,220,22,4.2
2025-01-12,South,Electronics,1450,1150,6,3.9
2025-01-13,South,Clothing,650,270,24,4.1
2025-01-14,East,Electronics,2100,1600,9,5.0
2025-01-15,East,Clothing,850,320,32,4.7
2025-01-16,West,Electronics,1150,950,5,3.6
2025-01-17,West,Clothing,420,160,16,4.0
2025-01-18,North,Electronics,1520,1210,5,4.5
2025-01-19,South,Electronics,1420,1120,5,3.8
2025-01-20,East,Electronics,2050,1550,8,4.9
