product,sales,region,price,marketing
A,100,North,10,500
B,200,South,20,600
C,150,East,15,550
D,300,West,30,700
E,250,Central,25,650
A,100,North,10,500
B,200,South,20,600
C,150,East,15,550
D,300,West,30,700
E,250,Central,25,650
A,100,North,10,500
B,200,South,20,600
C,150,East,15,550
D,300,West,30,700
E,250,Central,25,650
A,100,North,10,500
B,200,South,20,600
C,150,East,15,550
D,300,West,30,700
E,250,Central,25,650
A,100,North,10,500
B,200,South,20,600
C,150,East,15,550
D,300,West,30,700
E,250,Central,25,650
A,100,North,10,500
B,200,South,20,600
C,150,East,15,550
D,300,West,30,700
E,250,Central,25,650
A,100,North,10,500
B,200,South,20,600
C,150,East,15,550
D,300,West,30,700
E,250,Central,25,650
A,100,North,10,500
B,200,South,20,600
C,150,East,15,550
D,300,West,30,700
E,250,Central,25,650
A,100,North,10,500
B,200,South,20,600
C,150,East,15,550
D,300,West,30,700
E,250,Central,25,650
A,100,North,10,500
B,200,South,20,600
C,150,East,15,550
D,300,West,30,700
E,250,Central,25,650
A,100,North,10,500
B,200,South,20,600
C,150,East,15,550
D,300,West,30,700
E,250,Central,25,650
A,100,North,10,500
B,200,South,20,600
C,150,East,15,550
D,300,West,30,700
E,250,Central,25,650
A,100,North,10,500
B,200,South,20,600
C,150,East,15,550
D,300,West,30,700
E,250,Central,25,650
A,100,North,10,500
B,200,South,20,600
C,150,East,15,550
D,300,West,30,700
E,250,Central,25,650
A,100,North,10,500
B,200,South,20,600
C,150,East,15,550
D,300,West,30,700
E,250,Central,25,650
A,100,North,10,500
B,200,South,20,600
C,150,East,15,550
D,300,West,30,700
E,250,Central,25,650
A,100,North,10,500
B,200,South,20,600
C,150,East,15,550
D,300,West,30,700
E,250,Central,25,650
A,100,North,10,500
B,200,South,20,600
C,150,East,15,550
D,300,West,30,700
E,250,Central,25,650
A,100,North,10,500
B,200,South,20,600
C,150,East,15,550
D,300,West,30,700
E,250,Central,25,650
A,100,North,10,500
B,200,South,20,600
C,150,East,15,550
D,300,West,30,700
E,250,Central,25,650
